Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-immunizations-measles.json	25699	-	0	0	0	0	0	0	7	140	0	0	0	0	0	0	0	1	0	0	219	171	0	0	0	0	7	0	3
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesCIMR.json	1589	26	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	18	29	0	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesEval.json	1397	23	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-IMMZD2DTMeaslesMR.json	2088	69	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	2	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	760	18	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	12	39	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-EPIManager.json	728	18	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorker.json	559	18	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ICD11.json	3383	27	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	26	32546	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-IMMZ-C.json	3278	10	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	22	214	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IMMZ-D1.json	10077	23	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	56	233	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-IMMZ.D4.json	1636	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	16	160	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-VaccineProducts.json	972	4	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	11	162	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZ-D1.ConceptMap.json	19656	48	1	0	0	0	0	0	2	1512	0	0	0	0	0	0	0	1	0	0	133	129	0	0	0	0	5	0	8
fsh-generated/resources/ConceptMap-IMMZ.C.ConceptMap.json	7479	19	0	0	0	0	0	0	0	806	0	0	0	0	0	0	0	0	0	0	54	64	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZ.D4.ConceptMap.json	6411	17	0	0	0	0	0	0	1	198	0	0	0	0	0	0	0	0	0	0	46	66	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-IMMZCSexToAdministrativeGender.json	2403	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	20	23	0	0	0	0	0	0	0
fsh-generated/resources/Immunization-Immunization1.json	891	5	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0	0
fsh-generated/resources/Measure-IMMZIND05.json	3308	9	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	0	1	0	0
fsh-generated/resources/Measure-IMMZIND40.json	3309	8	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-MSDMMRVaxPro.json	1020	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
fsh-generated/resources/Medication-Vaccine-SIIMeasles.json	711	4	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-VaccineProposal1.json	460	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	0	0	0	0
fsh-generated/resources/Patient-P123456.json	285	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeasles.json	1533	8	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-IMMZD2DTMeaslesCI.json	2235	7	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-IMMZDTUmbrella.json	1922	5	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-Questionnaire-IMMZCRegisterClient.json	9296	20	0	0	0	0	0	0	1	54	0	0	0	0	0	0	0	1	0	0	80	17671	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-Questionnaire-IMMZD1ClientHistory.json	8434	18	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	74	200	0	0	0	0	2	0	1
fsh-generated/resources/Questionnaire-Questionnaire-IMMZD4CheckContraindications.json	2409	7	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	34	193	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.1.json	691	15	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-Example.IMMZ.D4.QuestionnaireResponse.2.json	698	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0
